,PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl
50,005qG,8/8/1p1k1p1p/3npp2/2B5/PP1K1PP1/7P/8 b - - 0 36,f5f4 c4d5 f4g3 h2g3 d6d5 g3g4,2244,93,64,47,crushing defensiveMove endgame long,https://lichess.org/RMj9gStA/black#72
51,005ws,8/8/5pp1/3K3p/3N2kP/8/8/8 w - - 2 62,d5e6 g6g5 h4g5 f6g5 e6d5 h5h4 d5e4 h4h3 d4f3 g4g3,2281,84,87,393,crushing endgame knightEndgame master quietMove veryLong,https://lichess.org/LOwACSXb#123
52,005wy,1r6/pp2kpp1/2n1p1n1/3p2PQ/5P2/2PqP3/PP1N4/2KR3R w - - 3 27,h5h7 c6b4 c3b4 b8c8 d2c4 c8c4,1842,88,100,112,long mate mateIn3 middlegame queensideAttack sacrifice,https://lichess.org/mBQMheB4#53
53,005xu,8/3k4/1K1P4/2P3r1/R7/5b2/8/8 b - - 0 68,g5g8 a4a7 d7e6 a7e7 e6d5 d6d7,1956,93,81,28,advancedPawn crushing endgame exposedKing long,https://lichess.org/TDu28XvE/black#136
54,005yO,r1r3k1/ppq3bQ/4p2p/4n3/3p4/2P5/PBB2PPP/4R1K1 b - - 2 24,g8f8 b2a3 f8f7 c2d1 c8h8 d1h5 f7f6 h7e4,2793,100,87,199,advantage exposedKing middlegame quietMove veryLong,https://lichess.org/j65YI8hC/black#48
55,0061g,6k1/pp3pp1/2p1q1Pp/3b4/8/6Q1/PB3Pp1/3RrNK1 b - - 2 27,e1d1 g3b8 e6e8 b8e8,773,90,72,250,endgame mate mateIn2 short,https://lichess.org/dJ3xEKJK/black#54
56,0066C,r2q1r1k/2p3p1/pb2Q2p/1p1p1n2/8/1BP5/PP1B1PPP/3RR1K1 w - - 3 20,b3d5 b6f2 g1f2 f5d4 f2g1 d4e6,1736,78,81,135,advantage discoveredAttack kingsideAttack long middlegame sacrifice,https://lichess.org/ZyuTEP3l#39
57,0068D,7r/pppk4/2pb1r2/8/2NP2p1/2P5/PP2RPP1/4R1K1 w - - 2 26,c4d6 f6h6 f2f4 g4g3 e2e7 d7d6 g1f1 h6h1,1901,288,100,8,crushing endgame veryLong,https://lichess.org/WNAZgV2o#51
58,006E1,5rk1/R4pp1/1p5p/3Q4/1PPp2q1/3P2P1/5P2/4nK2 w - - 0 34,f1e1 f8e8 e1f1 g4h3 d5g2 e8e1 f1e1 h3g2,1606,73,97,6331,crushing deflection endgame veryLong,https://lichess.org/KaLKLKD5#67
59,006HV,1r6/5k2/2p1pNp1/p5Pp/1pQ1P2P/2P4R/KP3P2/3q4 w - - 4 31,c4c6 b4b3 a2a3 d1a1,1214,77,91,863,endgame mate mateIn2 short,https://lichess.org/ibb2c72C#61
60,006NL,1r6/k2qn1b1/p1b1p1p1/2PpPpN1/2nN1P1P/p4B2/1PP2Q2/1K1R3R w - - 0 32,d4c6 e7c6 b2b3 a3a2 b1a1 c4e5 f4e5 g7e5 a1a2 b8b5,2279,114,85,64,advancedPawn advantage middlegame pin veryLong,https://lichess.org/yA3M5Q6W#63
61,006RM,1k1r3r/2q5/pp1n2p1/8/1Q6/3R2P1/PPP2P1P/3R2K1 b - - 4 29,c7c5 b4c5 b6c5 d3d6 d8d6 d1d6,1556,76,92,745,crushing long middlegame,https://lichess.org/ceS0QvtT/black#58
62,006eO,8/8/2p2k2/1p1p4/3P4/1PP1pK2/8/8 b - - 3 64,f6f5 b3b4,2186,115,100,45,defensiveMove endgame equality oneMove pawnEndgame,https://lichess.org/2cHqPgSG/black#128
63,006ia,1r4k1/4bpp1/1rp2n1p/3p4/3P4/2N1B1P1/Pq2QPKP/2R1R3 w - - 3 24,e3h6 b2e2 e1e2 e7a3 h6e3 a3c1,2058,206,78,3,advantage long middlegame,https://lichess.org/fcKXrUhC#47
64,006of,r2qr2k/1pp2pp1/1b4np/pP2P3/P4n2/BQN2N1P/5PP1/R3R1K1 w - - 3 20,b3f7 d8d3 c3e2 f4e2 e1e2 d3e2,2500,86,90,426,advantage kingsideAttack long middlegame,https://lichess.org/MIdWd89x#39
65,006om,1r3k2/5p1p/2p1pp2/P2n4/2r1N3/P4PK1/2R2P1P/2R5 b - - 9 29,c4a4 e4c5 a4a5 c5d7 f8g7 d7b8,1900,75,98,1395,crushing endgame fork long master,https://lichess.org/BMIgw1OR/black#58
